"Date","Open","High","Low","Close"
"24 Sep 2021","17897.45","17947.65","17819.40","17853.20"
"23 Sep 2021","17670.85","17843.90","17646.55","17822.95"
"22 Sep 2021","17580.90","17610.45","17524.00","17546.65"
"21 Sep 2021","17450.50","17578.35","17326.10","17562.00"
"20 Sep 2021","17443.85","17622.75","17361.80","17396.90"
"17 Sep 2021","17709.65","17792.95","17537.65","17585.15"
"16 Sep 2021","17539.20","17644.60","17510.45","17629.50"
"15 Sep 2021","17387.65","17532.70","17386.90","17519.45"
"14 Sep 2021","17420.35","17438.55","17367.05","17380.00"
"13 Sep 2021","17363.55","17378.35","17269.15","17355.30"
"09 Sep 2021","17312.85","17379.65","17302.70","17369.25"
"08 Sep 2021","17375.75","17383.40","17254.20","17353.50"
"07 Sep 2021","17401.55","17436.50","17287.00","17362.10"
"06 Sep 2021","17399.35","17429.55","17345.55","17377.80"
"03 Sep 2021","17262.45","17340.10","17212.20","17323.60"
"02 Sep 2021","17095.40","17245.50","17059.70","17234.15"
"01 Sep 2021","17185.60","17225.75","17055.05","17076.25"
"31 Aug 2021","16947.50","17153.50","16915.85","17132.20"
"30 Aug 2021","16775.85","16951.50","16764.85","16931.05"
"27 Aug 2021","16642.55","16722.05","16565.60","16705.20"
"26 Aug 2021","16627.95","16683.70","16603.40","16636.90"
"25 Aug 2021","16654.00","16712.45","16617.50","16634.65"
"24 Aug 2021","16561.40","16647.10","16495.30","16624.60"
"23 Aug 2021","16592.25","16592.50","16395.70","16496.45"
"20 Aug 2021","16382.50","16509.55","16376.05","16450.50"
"18 Aug 2021","16691.95","16701.85","16535.85","16568.85"
"17 Aug 2021","16545.25","16628.55","16495.4","16614.60"
"16 Aug 2021","16518.40","16589.40","16480.75","16563.05"
"13 Aug 2021","16385.70","16543.60","16376.30","16529.10"
"12 Aug 2021","16303.65","16375.50","16286.90","16364.40"
"11 Aug 2021","16327.30","16338.75","16162.55","16282.25"
"10 Aug 2021","16274.80","16359.25","16202.25","16280.10"
"09 Aug 2021","16281.35","16320.75","16179.05","16258.25"
"06 Aug 2021","16304.40","16336.75","16223.30","16238.20"
"05 Aug 2021","16288.95","16349.45","16210.30","16294.60"
"04 Aug 2021","16195.25","16290.20","16176.15","16258.80"
"03 Aug 2021","15951.55","16146.90","15914.35","16130.75"
"02 Aug 2021","15874.90","15892.90","15834.65","15885.15"
"30 Jul 2021","15800.60","15862.80","15744.85","15763.05"
"29 Jul 2021","15762.70","15817.35","15737.80","15778.45"
"28 Jul 2021","15761.55","15767.50","15513.45","15709.40"
"27 Jul 2021","15860.50","15881.55","15701.00","15746.45"
"26 Jul 2021","15849.30","15893.35","15797.00","15824.45"
"23 Jul 2021","15856.80","15899.80","15768.40","15856.05"
"22 Jul 2021","15736.60","15834.80","15726.40","15824.05"
"20 Jul 2021","15703.95","15728.45","15578.55","15632.10"
"19 Jul 2021","15754.50","15836.90","15707.50","15752.40"
"16 Jul 2021","15958.35","15962.25","15882.60","15923.40"
"15 Jul 2021","15872.15","15952.35","15855.00","15924.20"
"14 Jul 2021","15808.70","15877.35","15764.20","15853.95"
"13 Jul 2021","15794.00","15820.80","15744.60","15812.35"
"12 Jul 2021","15766.80","15789.20","15644.75","15692.60"
"09 Jul 2021","15688.25","15730.85","15632.75","15689.80"
"08 Jul 2021","15855.40","15885.75","15682.90","15727.90"
"07 Jul 2021","15819.60","15893.55","15779.70","15879.65"
"06 Jul 2021","15813.75","15914.20","15801.00","15818.25"
"05 Jul 2021","15793.40","15845.95","15762.05","15834.35"
"02 Jul 2021","15705.85","15738.35","15635.95","15722.20"
"01 Jul 2021","15755.05","15755.55","15667.05","15680.00"
"30 Jun 2021","15776.90","15839.10","15708.75","15721.50"
"29 Jun 2021","15807.50","15835.90","15724.05","15748.45"
"28 Jun 2021","15915.35","15915.65","15792.15","15814.70"
"25 Jun 2021","15839.35","15870.80","15772.30","15860.35"
"24 Jun 2021","15737.30","15821.40","15702.70","15790.45"
"23 Jun 2021","15862.80","15862.95","15673.95","15686.95"
"22 Jun 2021","15840.50","15895.75","15752.10","15772.75"
"21 Jun 2021","15525.85","15765.15","15505.65","15746.50"
"18 Jun 2021","15756.50","15761.50","15450.90","15683.35"
"17 Jun 2021","15648.30","15769.35","15616.75","15691.40"
"16 Jun 2021","15847.50","15880.85","15742.60","15767.55"
"15 Jun 2021","15866.95","15901.60","15842.40","15869.25"
"14 Jun 2021","15791.40","15823.05","15606.50","15811.85"
"11 Jun 2021","15796.45","15835.55","15749.80","15799.35"
"10 Jun 2021","15692.10","15751.25","15648.50","15737.75"
"09 Jun 2021","15766.30","15800.45","15566.90","15635.35"
"08 Jun 2021","15773.90","15778.80","15680.00","15740.10"
"07 Jun 2021","15725.10","15773.45","15678.10","15751.65"
"04 Jun 2021","15712.50","15733.60","15622.35","15670.25"
"03 Jun 2021","15655.55","15705.10","15611.00","15690.35"
"02 Jun 2021","15520.35","15597.45","15459.85","15576.20"
"01 Jun 2021","15629.65","15660.75","15528.30","15574.85"
"31 May 2021","15437.75","15606.35","15374.00","15582.80"
"28 May 2021","15421.20","15469.65","15394.75","15435.65"
"27 May 2021","15323.95","15384.55","15272.50","15337.85"
"26 May 2021","15257.05","15319.90","15194.95","15301.45"
"25 May 2021","15291.75","15293.85","15163.40","15208.45"
"21 May 2021","14987.80","15190.00","14985.85","15175.30"
"20 May 2021","15042.60","15069.80","14884.90","14906.05"
"19 May 2021","15058.60","15133.40","15008.85","15030.15"
